"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 16 23:32:03 WIB 2022","Sat Jul 16 23:32:06 WIB 2022","3215","","Login","","validate the negative login functionality","","validate the negative login functionality",""
"passed","Sat Jul 16 23:30:55 WIB 2022","Sat Jul 16 23:31:00 WIB 2022","4923","","Add Education Category Article","","Validate the positive functionality (Schedule)","","Validate the positive functionality (Schedule)",""
"passed","Sat Jul 16 23:30:37 WIB 2022","Sat Jul 16 23:30:44 WIB 2022","6799","","Add Area Category Teritorial","","Validate the positive functionality","","Validate the positive functionality",""
"passed","Sat Jul 16 23:31:18 WIB 2022","Sat Jul 16 23:31:22 WIB 2022","4505","","Add OPT Category Gulma","","Validate the positive functionality","","Validate the positive functionality",""
"passed","Sat Jul 16 23:31:28 WIB 2022","Sat Jul 16 23:31:39 WIB 2022","10151","","Add Product Category","","Validate the positive functionality","","Validate the positive functionality",""
"passed","Sat Jul 16 23:31:39 WIB 2022","Sat Jul 16 23:31:47 WIB 2022","8189","","Forget Password","","validate the positive functionality","","validate the positive functionality",""
"passed","Sat Jul 16 23:31:57 WIB 2022","Sat Jul 16 23:32:00 WIB 2022","2962","","Login","","validate the positive functionality","","validate the positive functionality",""
"passed","Sat Jul 16 23:30:22 WIB 2022","Sat Jul 16 23:30:30 WIB 2022","7809","","Add Area Category Field Promotor","","Validate the positive functionality","","Validate the positive functionality",""
"passed","Sat Jul 16 23:31:47 WIB 2022","Sat Jul 16 23:31:57 WIB 2022","10447","","Forget Password","","validate the positive functionality","","validate the positive functionality",""
"passed","Sat Jul 16 23:30:50 WIB 2022","Sat Jul 16 23:30:55 WIB 2022","4898","","Add Education Category Article","","Validate the positive functionality (Schedule)","","Validate the positive functionality (Schedule)",""
"passed","Sat Jul 16 23:31:22 WIB 2022","Sat Jul 16 23:31:28 WIB 2022","6149","","Add OPT Category Hama","","Validate the positive functionality","","Validate the positive functionality",""
"passed","Sat Jul 16 23:32:00 WIB 2022","Sat Jul 16 23:32:03 WIB 2022","2710","","Login","","validate the negative login functionality","","validate the negative login functionality",""
"passed","Sat Jul 16 23:30:44 WIB 2022","Sat Jul 16 23:30:50 WIB 2022","5722","","Add Education Category Article","","Validate the positive functionality (Schedule)","","Validate the positive functionality (Schedule)",""
"passed","Sat Jul 16 23:31:00 WIB 2022","Sat Jul 16 23:31:13 WIB 2022","13331","","Add Education Category Video","","Validate the positive functionality (Schedule)","","Validate the positive functionality (Schedule)",""
"passed","Sat Jul 16 23:30:31 WIB 2022","Sat Jul 16 23:30:37 WIB 2022","6686","","Add Area Category Regional","","Validate the positive functionality","","Validate the positive functionality",""
"passed","Sat Jul 16 23:31:13 WIB 2022","Sat Jul 16 23:31:18 WIB 2022","4729","","Add OPT Category Hama","","Validate the positive functionality","","Validate the positive functionality",""
